resource_type,resource_id,resource_name,environment_tag,managed_by_tag,status,issue
cognito_user_pool,us-east-1_b36NPuJf3,finpulse-users-prod,prod,Terraform,ORPHAN,Not in TF state
cognito_user_pool,us-east-1_Qz94aQpeK,finpulse-users-staging,staging,Terraform,ORPHAN,Not in TF state
lambda,finpulse-auth-prod,auth,prod,Terraform,ORPHAN,Not in TF state
lambda,finpulse-portfolio-prod,portfolio,prod,Terraform,ORPHAN,Not in TF state
lambda,finpulse-market-data-prod,market-data,prod,Terraform,ORPHAN,Not in TF state
lambda,finpulse-news-prod,news,prod,Terraform,ORPHAN,Not in TF state
lambda,finpulse-fx-prod,fx,prod,Terraform,ORPHAN,Not in TF state
lambda,finpulse-community-prod,community,prod,Terraform,ORPHAN,Not in TF state
lambda,finpulse-admin-prod,admin,prod,Terraform,ORPHAN,Not in TF state
lambda,finpulse-ai-prod,ai,prod,Terraform,ORPHAN,Not in TF state
lambda,finpulse-auth-staging,auth,staging,Terraform,ORPHAN,Not in TF state
lambda,finpulse-portfolio-staging,portfolio,staging,Terraform,ORPHAN,Not in TF state
lambda,finpulse-market-data-staging,market-data,staging,Terraform,ORPHAN,Not in TF state
lambda,finpulse-news-staging,news,staging,Terraform,ORPHAN,Not in TF state
lambda,finpulse-fx-staging,fx,staging,Terraform,ORPHAN,Not in TF state
lambda,finpulse-community-staging,community,staging,Terraform,ORPHAN,Not in TF state
lambda,finpulse-admin-staging,admin,staging,Terraform,ORPHAN,Not in TF state
lambda,finpulse-ai-staging,ai,staging,Terraform,ORPHAN,Not in TF state
dynamodb,finpulse-ai-queries-prod,ai-queries,prod,Terraform,ORPHAN,Not in TF state
dynamodb,finpulse-circuit-breaker-prod,circuit-breaker,prod,Terraform,ORPHAN,Not in TF state
dynamodb,finpulse-community-posts-prod,community-posts,prod,Terraform,ORPHAN,Not in TF state
dynamodb,finpulse-market-prices-prod,market-prices,prod,Terraform,ORPHAN,Not in TF state
dynamodb,finpulse-news-prod,news,prod,Terraform,ORPHAN,Not in TF state
dynamodb,finpulse-portfolios-prod,portfolios,prod,Terraform,ORPHAN,Not in TF state
dynamodb,finpulse-users-prod,users,prod,Terraform,ORPHAN,Not in TF state
api_gateway,b3fgmin9yj,finpulse-api-prod,prod,Terraform,ORPHAN,Not in TF state
api_gateway,79yqt9ta2e,finpulse-api-staging,staging,Terraform,ORPHAN,Not in TF state
vpc,vpc-094d78d41ebab7d48,finpulse-vpc-prod,prod,Terraform,ORPHAN,Not in TF state
vpc,vpc-07e97299881cde1fb,default-vpc,NONE,NONE,DEFAULT,No tags - default VPC
secretsmanager,finpulse/prod/coingecko-api-key,coingecko,prod,Terraform,ORPHAN,Not in TF state
secretsmanager,finpulse/prod/newsapi-key,newsapi,prod,Terraform,ORPHAN,Not in TF state
secretsmanager,finpulse/prod/gemini-api-key,gemini,prod,Terraform,ORPHAN,Not in TF state
secretsmanager,finpulse/prod/exchangerate-api-key,exchangerate,prod,Terraform,ORPHAN,Not in TF state
secretsmanager,finpulse/prod/alphavantage-api-key,alphavantage,prod,Terraform,ORPHAN,Not in TF state
secretsmanager,finpulse/prod/gnews-api-key,gnews,prod,Terraform,ORPHAN,Not in TF state
s3,finpulse-frontend-prod-383349724213,frontend-bucket,prod,Terraform,ORPHAN,Not in TF state
cloudfront,E2Y4NTEFQ5LYOK,finpulse.me,prod,Terraform,ORPHAN,Not in TF state
